Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
COMP SCI 540,2022-09-22,11:00 AM,2022-09-22,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-09-29,11:00 AM,2022-09-29,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-10-06,11:00 AM,2022-10-06,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-10-13,11:00 AM,2022-10-13,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-10-20,11:00 AM,2022-10-20,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-10-27,11:00 AM,2022-10-27,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-11-03,11:00 AM,2022-11-03,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-11-10,11:00 AM,2022-11-10,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-11-17,11:00 AM,2022-11-17,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-11-24,11:00 AM,2022-11-24,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-12-01,11:00 AM,2022-12-01,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-12-08,11:00 AM,2022-12-08,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 540,2022-12-15,11:00 AM,2022-12-15,12:15 PM,FALSE,LEC for COMP SCI 540,1310 Sterling Hall,FALSE
COMP SCI 577,2022-09-08,1:00 PM,2022-09-08,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-09-15,1:00 PM,2022-09-15,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-09-22,1:00 PM,2022-09-22,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-09-29,1:00 PM,2022-09-29,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-10-06,1:00 PM,2022-10-06,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-10-13,1:00 PM,2022-10-13,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-10-20,1:00 PM,2022-10-20,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-10-27,1:00 PM,2022-10-27,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-11-03,1:00 PM,2022-11-03,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-11-10,1:00 PM,2022-11-10,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-11-17,1:00 PM,2022-11-17,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-11-24,1:00 PM,2022-11-24,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-12-01,1:00 PM,2022-12-01,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-12-08,1:00 PM,2022-12-08,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
COMP SCI 577,2022-12-15,1:00 PM,2022-12-15,2:15 PM,FALSE,LEC for COMP SCI 577,S413 Chemistry Building,FALSE
ENGL 140,2022-09-08,9:55 AM,2022-09-08,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-09-15,9:55 AM,2022-09-15,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-09-22,9:55 AM,2022-09-22,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-09-29,9:55 AM,2022-09-29,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-10-06,9:55 AM,2022-10-06,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-10-13,9:55 AM,2022-10-13,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-10-20,9:55 AM,2022-10-20,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-10-27,9:55 AM,2022-10-27,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-11-03,9:55 AM,2022-11-03,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-11-10,9:55 AM,2022-11-10,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-11-17,9:55 AM,2022-11-17,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-11-24,9:55 AM,2022-11-24,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-12-01,9:55 AM,2022-12-01,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-12-08,9:55 AM,2022-12-08,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
ENGL 140,2022-12-15,9:55 AM,2022-12-15,10:45 AM,FALSE,LEC for ENGL 140,1520 Microbial Sciences,FALSE
